Date,Adj Close
1/16/2018,50.950001
1/17/2018,52.560001
1/18/2018,53.450001
1/19/2018,53.48
1/22/2018,56.290001
1/23/2018,56.759998
1/24/2018,55.959999
1/25/2018,55.59
1/26/2018,56.080002
1/29/2018,56.599998
1/30/2018,55.209999
1/31/2018,52.299999
2/1/2018,56.150002
2/2/2018,55.900002
2/5/2018,53.27
2/6/2018,54.240002
2/7/2018,51.900002
2/8/2018,50.540001
2/9/2018,50.139999
2/12/2018,52.310001
2/13/2018,52.150002
2/14/2018,54.060001
2/15/2018,54.849998
2/16/2018,54.48
2/20/2018,54.16
2/21/2018,54.110001
2/22/2018,53.779999
2/23/2018,55.349998
2/26/2018,55.919998
2/27/2018,55.549999
2/28/2018,54
3/1/2018,52.27
3/2/2018,52.799999
3/5/2018,54.709999
3/6/2018,55.27
3/7/2018,56.25
3/8/2018,56.970001
3/9/2018,57.189999
3/12/2018,58.68
3/13/2018,59.32
3/14/2018,58.59
3/15/2018,57.68
3/16/2018,57.700001
3/19/2018,55.73
3/20/2018,54.860001
3/21/2018,54.119999
3/22/2018,53.209999
3/23/2018,50.950001
3/26/2018,53.57
3/27/2018,51.200001
3/28/2018,51.68
3/29/2018,52.34
4/2/2018,50.939999
4/3/2018,50.27
4/4/2018,53.07
4/5/2018,51.869999
4/6/2018,50.07
4/9/2018,50.200001
4/10/2018,51.689999
4/11/2018,51.650002
4/12/2018,51.630001
4/13/2018,50.240002
4/16/2018,50.32
4/17/2018,51.720001
4/18/2018,50.790001
4/19/2018,49.57
4/20/2018,49.68
4/23/2018,49.799999
4/24/2018,48.779999
4/25/2018,48.130001
4/26/2018,48.860001
4/27/2018,51.580002
4/30/2018,51.189999
5/1/2018,52.52
5/2/2018,54.43
5/3/2018,53.98
5/4/2018,52.720001
5/7/2018,54.049999
5/8/2018,54.080002
5/9/2018,55.5
5/10/2018,55.599998
5/11/2018,56.919998
5/14/2018,57.580002
5/15/2018,57.299999
5/16/2018,58.5
5/17/2018,57.330002
5/18/2018,56.77
5/21/2018,55.389999
5/22/2018,55.23
5/23/2018,55.43
5/24/2018,55.369999
5/25/2018,55.790001
5/29/2018,55.540001
5/30/2018,56.779999
5/31/2018,60.490002
6/1/2018,61.619999
6/4/2018,61.509998
6/5/2018,63.049999
6/6/2018,65.360001
6/7/2018,65.589996
6/8/2018,65.010002
6/11/2018,66.739998
6/12/2018,69.209999
6/13/2018,68.050003
6/14/2018,65.489998
6/15/2018,65.110001
6/18/2018,65.75
6/19/2018,65.779999
6/20/2018,66.760002
6/21/2018,66.610001
6/22/2018,66.849998
6/25/2018,66.510002
6/26/2018,65.669998
6/27/2018,64.809998
6/28/2018,64.959999
6/29/2018,66.389999
7/2/2018,67.199997
7/3/2018,68.129997
7/5/2018,68.529999
7/6/2018,69.669998
7/9/2018,68.769997
7/10/2018,69.290001
7/11/2018,69.440002
