Date,Close
10/1/12,"$1,444.49 "
10/2/12,"$1,445.75 "
10/3/12,"$1,450.99 "
10/4/12,"$1,461.40 "
10/5/12,"$1,460.93 "
10/8/12,"$1,455.88 "
10/9/12,"$1,441.48 "
10/10/12,"$1,432.56 "
10/11/12,"$1,432.84 "
10/12/12,"$1,428.59 "
10/15/12,"$1,440.13 "
10/16/12,"$1,454.92 "
10/17/12,"$1,460.91 "
10/18/12,"$1,457.34 "
10/19/12,"$1,433.19 "
10/22/12,"$1,433.82 "
10/23/12,"$1,413.11 "
10/24/12,"$1,408.75 "
10/25/12,"$1,412.97 "
10/26/12,"$1,411.94 "
10/31/12,"$1,412.16 "
11/1/12,"$1,427.59 "
11/2/12,"$1,414.20 "
11/5/12,"$1,417.26 "
11/6/12,"$1,428.39 "
11/7/12,"$1,394.53 "
11/8/12,"$1,377.51 "
11/9/12,"$1,379.85 "
11/12/12,"$1,380.03 "
11/13/12,"$1,374.53 "
11/14/12,"$1,355.49 "
11/15/12,"$1,353.33 "
11/16/12,"$1,359.88 "
11/19/12,"$1,386.89 "
11/20/12,"$1,387.81 "
11/21/12,"$1,391.03 "
11/23/12,"$1,409.15 "
11/26/12,"$1,406.29 "
11/27/12,"$1,398.94 "
11/28/12,"$1,409.93 "
11/29/12,"$1,415.95 "
11/30/12,"$1,416.18 "
12/3/12,"$1,409.46 "
12/4/12,"$1,407.05 "
12/5/12,"$1,409.28 "
12/6/12,"$1,413.94 "
12/7/12,"$1,418.07 "
12/10/12,"$1,418.55 "
12/11/12,"$1,427.84 "
12/12/12,"$1,428.48 "
12/13/12,"$1,419.45 "
12/14/12,"$1,413.58 "
12/17/12,"$1,430.36 "
12/18/12,"$1,446.79 "
12/19/12,"$1,435.81 "
12/20/12,"$1,443.69 "
12/21/12,"$1,430.15 "
12/24/12,"$1,426.66 "
12/26/12,"$1,419.83 "
12/27/12,"$1,418.10 "
12/28/12,"$1,402.43 "
12/31/12,"$1,426.19 "
1/2/13,"$1,462.42 "
1/3/13,"$1,459.37 "
1/4/13,"$1,466.47 "
1/7/13,"$1,461.89 "
1/8/13,"$1,457.15 "
1/9/13,"$1,461.02 "
1/10/13,"$1,472.12 "
1/11/13,"$1,472.05 "
1/14/13,"$1,470.68 "
1/15/13,"$1,472.34 "
1/16/13,"$1,472.63 "
1/17/13,"$1,480.94 "
1/18/13,"$1,485.98 "
1/22/13,"$1,492.56 "
1/23/13,"$1,494.81 "
1/24/13,"$1,494.82 "
1/25/13,"$1,502.96 "
1/28/13,"$1,500.18 "
1/29/13,"$1,507.84 "
1/30/13,"$1,501.96 "
1/31/13,"$1,498.11 "
2/1/13,"$1,513.17 "
2/4/13,"$1,495.71 "
2/5/13,"$1,511.29 "
2/6/13,"$1,512.12 "
2/7/13,"$1,509.39 "
2/8/13,"$1,517.93 "
2/11/13,"$1,517.01 "
2/12/13,"$1,519.43 "
2/13/13,"$1,520.33 "
2/14/13,"$1,521.38 "
2/15/13,"$1,519.79 "
2/19/13,"$1,530.94 "
2/20/13,"$1,511.95 "
2/21/13,"$1,502.42 "
2/22/13,"$1,515.60 "
2/25/13,"$1,487.85 "
2/26/13,"$1,496.94 "
2/27/13,"$1,515.99 "
2/28/13,"$1,514.68 "
3/1/13,"$1,518.20 "
3/4/13,"$1,525.20 "
3/5/13,"$1,539.79 "
